barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511078_2_2,127366182,600,5,113221037,ventral posterior medial nucleus,,H376.IV.03,/api/v2/well_known_file_download/149206053
252491511211_1_1,147803624,600,5,127407387,VZ in lateral temporal-occipital cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815019
252491511156_1_2,121063491,600,5,12808,polymorphic layer of rostral subiculum,,H376.IV.02,/api/v2/well_known_file_download/149124217
252491511192_1_3,147805048,600,5,127408948,transient Purkinje cell clusters,,H376.IIIA.02,/api/v2/well_known_file_download/147817305
252491511472_1_1,147807187,600,5,127426853,outer CP in posteroinferior (ventral) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825913
252491511159_2_2,114245768,600,5,12044,body of caudate,,H376.IV.02,/api/v2/well_known_file_download/121059847
252491511262_2_4,147802910,600,5,13350,VZ in frontal polar cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815564
252491511288_1_1,147807217,600,5,127434769,inner CP in (rostral) midinferior temporal cortex (area 36),,H376.IIIB.02,/api/v2/well_known_file_download/147825541
252491511312_2_4,147807211,600,5,127434769,inner CP in (rostral) midinferior temporal cortex (area 36),,H376.IIIB.02,/api/v2/well_known_file_download/147825715
252491510954_2_1,146036757,600,5,113220738,inner CP in temporal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/146039565
252491511297_1_4,147807428,600,5,127434306,IZ in dorsomedial parietal cortex (area 7m),,H376.IIIB.02,/api/v2/well_known_file_download/147825611
252491511147_1_3,121063739,600,5,12878,stratum oriens of caudal CA1,,H376.IV.02,/api/v2/well_known_file_download/149124087
252491511257_2_4,147803665,600,5,127407435,"inferior olive, principal nucleus",,H376.IIIA.02,/api/v2/well_known_file_download/147815482
252491511256_1_1,147803663,600,5,127407435,"inferior olive, principal nucleus",,H376.IIIA.02,/api/v2/well_known_file_download/147815452
252491511090_2_4,127366390,600,5,113221158,dorsal lateral geniculate nucleus,,H376.IV.03,/api/v2/well_known_file_download/149206246
252491510816_2_3,147807554,600,5,127434379,VZ in posterior parahippocampal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825521
252491511450_2_2,156438228,600,5,127434615,VZ in medial temporal-occipital cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887131
252491511156_2_2,121063531,600,5,12817,SG in caudal entorhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124225
252491510812_2_1,147806734,600,5,127434206,outer CP in caudal cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819842
252491511157_2_2,121063438,600,5,12801,stratum radiatum of rostral CA1,,H376.IV.02,/api/v2/well_known_file_download/149124239
252491511186_2_1,114245742,600,5,12128,SZ in rostral cingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/121059621
252491511193_2_2,147804711,600,5,13358,VZ in dorsolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817327
252491511163_1_1,121063397,600,5,12100,outer CP in midinferior temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124279
252491511171_1_1,114245527,600,5,12100,outer CP in midinferior temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059695
252491511106_1_2,147805366,600,5,127401328,IZ in posterosuperior (dorsal) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817271
252491511098_2_2,127366669,600,5,113221539,VZ in midlateral extrastriate cortex (area 19),,H376.IV.03,/api/v2/well_known_file_download/149206323
252491510992_2_3,121079928,600,5,113219470,outer CP in rostral cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149195779
252491511448_2_3,156438282,600,5,127434733,inner SZ in ventromedial extrastriate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887115
252491511447_1_2,156438300,600,5,127434473,medial superior olive,,H376.IIIB.02,/api/v2/well_known_file_download/156887101
252491510992_1_1,121081252,600,5,113220674,MZ in dorsomedial frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195767
252491510932_2_4,147804609,600,5,13348,outer SZ in frontal polar cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817203
252491511473_1_4,147807538,600,5,127434373,outer SZ in posterior parahippocampal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825935
252491511321_2_1,147807171,600,5,127426807,subthalamic nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825847
252491511145_2_4,121063809,600,5,12900,SG in dorsomedial parietal cortex (area 7m),,H376.IV.02,/api/v2/well_known_file_download/149124064
252491510992_1_3,121080180,600,5,113220295,VZ in ventrolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195771
252491511289_2_4,147807716,600,5,127434509,principal sensory nucleus of trigeminal nerve,,H376.IIIB.02,/api/v2/well_known_file_download/147825571
252491510817_1_1,147807237,600,5,127426962,magnocellular (medial) division of MD,,H376.IIIB.02,/api/v2/well_known_file_download/147825525
252491511251_2_3,147806467,600,5,127426962,magnocellular (medial) division of MD,,H376.IIIB.02,/api/v2/well_known_file_download/147820116
252491511165_1_1,114245484,600,5,12136,subthalamic nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059825
252491511171_1_4,114245536,600,5,12142,red nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059731
252491511140_2_2,121063468,600,5,12805,stratum pyramidale of rostral CA3,,H376.IV.02,/api/v2/well_known_file_download/149124012
252491511298_1_1,147807347,600,5,127434266,stratum lacunosum-moleculare of caudal CA1,,H376.IIIB.02,/api/v2/well_known_file_download/147825621
252491511135_1_1,121063951,600,5,12951,outer CP in primary visual cortex,,H376.IV.02,/api/v2/well_known_file_download/149123861
252491511175_2_2,127366564,600,5,113221582,IZ in posteroinferior (ventral) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206551
252491511137_2_1,121063905,600,5,12934,inner SZ in midlateral extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/149123961
252491511056_1_3,121080044,600,5,113220259,SP in ventrolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195932
252491510932_2_1,147805342,600,5,127408544,outer CP in inferolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817197
252491510859_2_1,147804845,600,5,113221888,bed nucleus of stria terminalis,,H376.IIIA.02,/api/v2/well_known_file_download/147817117
252491510859_1_1,147805132,600,5,127407383,inner SZ in lateral temporal-occipital cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817109
252491511452_1_3,156438112,600,4,127426583,anterior hypothalamic nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/156887157
252491511165_2_3,114245493,600,5,12139,IZ in primary somatosensory cortex,,H376.IV.02,/api/v2/well_known_file_download/121059809
252491511196_2_3,147805494,600,5,127401214,limitans nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817377
252491511317_2_3,147807927,600,5,127434673,MZ in dorsomedial extrastriate cortex (V2),,H376.IIIB.02,/api/v2/well_known_file_download/147825787
252491511190_1_3,114245301,600,5,11990,outer CP in rostral cingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/121059907
252491511214_2_2,147803282,600,5,113221784,inner portion of lateral ganglionic eminence,,H376.IIIA.02,/api/v2/well_known_file_download/147815078
252491511131_1_3,114245445,600,5,12047,reticular nucleus of thalamus,,H376.IV.02,/api/v2/well_known_file_download/121059885
252491511105_1_2,147804867,600,5,113221920,SP in dysgranular insular cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817255
252491511054_2_4,127365582,600,5,12879,stratum pyramidale of caudal CA2,,H376.IV.02,/api/v2/well_known_file_download/149203488
252491511059_1_2,127365486,600,5,12816,VZ in caudal entorhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/149203498
252491511136_2_3,121063945,600,5,12949,MZ in primary visual cortex,,H376.IV.02,/api/v2/well_known_file_download/149123949
252491510930_2_3,147805005,600,5,127404170,IZ in dorsomedial extrastriate cortex (V2),,H376.IIIA.02,/api/v2/well_known_file_download/147817169
252491511138_2_4,121063564,600,5,12826,inner CP in primary auditory cortex,,H376.IV.02,/api/v2/well_known_file_download/149123984
252491511284_2_1,147806171,600,5,127426684,VZ in thalamic region,,H376.IIIB.02,/api/v2/well_known_file_download/147820425
252491511096_1_1,127366288,600,5,113221088,SP in primary auditory cortex,,H376.IV.03,/api/v2/well_known_file_download/149206250
252491511272_2_1,147806722,600,5,127434202,medial habenular nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147820289
252491511058_2_1,121080767,600,5,113220551,superficial layers of olfactory entorhinal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195964
252491510991_1_2,121080763,600,5,113220551,superficial layers of olfactory entorhinal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195753
252491511089_1_4,127366116,600,5,113220963,SP in granular insular cortex,,H376.IV.03,/api/v2/well_known_file_download/149206196
252491511476_2_4,147806504,600,5,127426990,stratum pyramidale of rostral CA1,,H376.IIIB.02,/api/v2/well_known_file_download/147820455
252491511182_2_2,114245697,600,5,12110,outer CP in posteror frontal cortex (motor cortex),,H376.IV.02,/api/v2/well_known_file_download/121059677
252491511182_2_1,114245695,600,5,12110,outer CP in posteror frontal cortex (motor cortex),,H376.IV.02,/api/v2/well_known_file_download/121059679
252491511250_2_1,147806576,600,5,127427027,IZ in superolateral temporal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820065
252491511323_2_4,147807448,600,5,127434310,inner SZ in dorsomedial parietal cortex (area 7m),,H376.IIIB.02,/api/v2/well_known_file_download/147825885
252491511311_1_4,147807468,600,5,127434339,pontine nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825691
252491511451_1_3,156438161,600,5,127434335,VZ in dorsomedial parietal cortex (area 7m),,H376.IIIB.02,/api/v2/well_known_file_download/156887141
252491511228_1_2,147806016,600,5,127426350,MZ in primary somatosensory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819892
252491511476_1_4,147807698,600,5,127434475,lateral parabrachial nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825983
252491511455_2_2,156437969,600,5,127403458,outer plexiform zone in extrastriate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/156886660
252491511145_2_3,121063806,600,5,12886,IZ in caudal cingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/149124062
252491511142_2_3,121063885,600,5,12928,MZ in midlateral extrastriate cortex (area 19),,H376.IV.02,/api/v2/well_known_file_download/149124030
252491511269_1_1,147803540,600,5,127408950,medial superior olive,,H376.IIIA.02,/api/v2/well_known_file_download/147815662
252491511080_1_3,127366376,600,5,113221154,outer CP in primary somatosensory cortex,,H376.IV.03,/api/v2/well_known_file_download/149206090
252491511256_1_4,147803641,600,5,127407391,external granular (germinal) layer of upper rhombic lip,,H376.IIIA.02,/api/v2/well_known_file_download/147815458
252491511176_2_3,121081162,600,5,113220662,inner CP in midcingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149196083
252491511101_2_4,121081368,600,5,113220709,rostral subdivision of medial nucleus,,H376.IV.03,/api/v2/well_known_file_download/149196011
252491511455_1_3,156437951,600,5,113221778,VZ in subgenual cingulate neocortex,,H376.IIIA.02,/api/v2/well_known_file_download/156886654
252491511212_2_2,147803266,600,5,113221778,VZ in subgenual cingulate neocortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815046
252491511150_1_3,121063657,600,5,12854,inner SZ in inferolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124137
252491511135_1_4,121064007,600,5,12956,SP in dorsomedial extrastriate cortex (V2),,H376.IV.02,/api/v2/well_known_file_download/149123855
252491510957_1_1,146036847,600,5,113220672,basomedial nucleus (accessory basal nucleus),,H376.IV.03,/api/v2/well_known_file_download/146039605
252491511154_1_3,121081244,600,5,113220672,basomedial nucleus (accessory basal nucleus),,H376.IV.03,/api/v2/well_known_file_download/149196053
252491511228_2_3,147806062,600,5,127426430,SP in dysgranular insular cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819902
252491511186_1_1,114245364,600,5,12016,nucleus of diagonal band,,H376.IV.02,/api/v2/well_known_file_download/121059613
252491510932_1_3,147804903,600,4.61194029850746,127400636,MZ in caudal perirhinal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817193
252491511318_1_2,147807883,600,5,127434640,lateral hemisphere of cerebellum,,H376.IIIB.02,/api/v2/well_known_file_download/147825793
252491510928_2_1,147804621,600,5,13353,outer CP in frontal polar cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817149
252491511214_2_3,147804010,600,5,127401375,CP in midlateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815080
252491511274_2_1,147806134,600,5,127426670,central nuclear group,,H376.IIIB.02,/api/v2/well_known_file_download/147820322
252491511131_1_2,114245343,600,5,12009,VZ in ventrolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059887
252491510931_1_2,147805216,600,5,127407488,outer CP in dorsomedial parietal cortex (area 7m),,H376.IIIA.02,/api/v2/well_known_file_download/147817175
252491511198_1_2,147805210,600,5,127407488,outer CP in dorsomedial parietal cortex (area 7m),,H376.IIIA.02,/api/v2/well_known_file_download/147817399
252491511138_1_1,121063539,600,5,12819,pyramidal cells of rostral CA4,,H376.IV.02,/api/v2/well_known_file_download/149123969
252491511170_1_1,114245605,600,5,12069,deep layers of rostral entorhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059751
252491511259_1_3,147803258,600,5,113221776,VZ in rostral cingulate neocortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815505
252491511448_2_2,156438276,600,5,127434731,outer SZ in ventromedial extrastriate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887113
252491511108_2_4,127366158,600,5,113220998,ventral lateral nucleus of thalamus,,H376.IV.03,/api/v2/well_known_file_download/149206355
252491511046_2_1,121079920,600,5,113219359,MZ in rostral cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149195861
252491511211_1_4,147803608,600,5,127407375,IZ in lateral temporal-occipital cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815026
252491511150_1_1,121063651,600,5,12852,inner SZ in posteroinferior (ventral) parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124133
252491510813_1_4,147806622,600,5,127433772,parafascicular nucleus of thalamus,,H376.IIIB.02,/api/v2/well_known_file_download/147819856
252491511325_2_4,147806632,600,5,127433776,layer II of caudal entorhinal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820453
252491511262_2_1,147803906,600,5,127401262,inner CP in posterosuperior (dorsal) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815558
252491511053_1_3,121080010,600,5,113219488,outer CP in ventrolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195892
252491511275_2_2,147805902,600,5,127409162,olfactory tubercle,,H376.IIIB.02,/api/v2/well_known_file_download/147820340
252491511227_1_2,147806323,600,5,127426825,reticular nucleus of thalamus,,H376.IIIB.02,/api/v2/well_known_file_download/147819876
252491511322_2_1,147807889,600,5,127434642,dorsal cochlear nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825863
252491511167_1_1,114245659,600,5,12087,"substantia nigra, compact part",,H376.IV.02,/api/v2/well_known_file_download/121059759
252491511318_1_4,147807848,600,5,127434617,dentate (lateral) nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825797
252491511213_1_4,147804078,600,5,127401208,inferior nucleus of pulvinar,,H376.IIIA.02,/api/v2/well_known_file_download/147815058
252491510959_1_4,146037028,600,5,12841,parabigeminal nucleus,,H376.IV.02,/api/v2/well_known_file_download/146038914
252491511088_1_4,127366048,600,5,113248005,zona incerta,,H376.IV.03,/api/v2/well_known_file_download/149206129
252491510927_2_3,147804921,600,5,127424246,MZ in midlateral extrastriate cortex (area 19),,H376.IIIA.02,/api/v2/well_known_file_download/147817137
252491511157_2_4,121063452,600,5,12803,stratum oriens of rostral CA1,,H376.IV.02,/api/v2/well_known_file_download/149124243
252491511155_2_4,121063910,600,5,12935,VZ in midlateral extrastriate cortex (area 19),,H376.IV.02,/api/v2/well_known_file_download/149124213
252491510812_1_3,147806455,600,5,127426950,CP in rostral hippocampus,,H376.IIIB.02,/api/v2/well_known_file_download/147819838
252491511172_2_2,114245518,600,5,12097,Intercalated nucleus of amygdala,,H376.IV.02,/api/v2/well_known_file_download/121059713
252491511098_2_4,127366306,600,5,113221107,IZ in primary somatosensory cortex,,H376.IV.03,/api/v2/well_known_file_download/149206327
252491511153_2_3,121063587,600,5,12831,IZ in primary auditory cortex,,H376.IV.02,/api/v2/well_known_file_download/149124193
252491511188_2_4,114245388,600,5,12024,VZ in orbital frontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059659
252491511098_2_3,127366110,600,5,113220961,SP in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206325
252491511264_2_3,147804215,600,5,113222030,ventromedial hypothalamic nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815594
252491511186_1_4,114245739,600,5,12126,inner CP in rostral cingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/121059619
252491511261_1_4,147804199,600,5,113222026,anteromedial nucleus of thalamus,,H376.IIIA.02,/api/v2/well_known_file_download/147815540
252491511159_1_2,114245758,600,5,12038,anterior hypothalamic nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059855
252491511149_1_2,121063684,600,5,12860,inner CP in posteroinferior (ventral) parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124117
252491510931_2_3,147805222,600,5,127407490,inner CP in dorsomedial parietal cortex (area 7m),,H376.IIIA.02,/api/v2/well_known_file_download/147817185
252491511105_1_1,147804885,600,5,113221943,anterior hypothalamic nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817253
252491511088_2_2,127366446,600,5,113221389,VZ in caudal cingulate neocortex,,H376.IV.03,/api/v2/well_known_file_download/149206170
252491511194_1_1,147805018,600,5,127404180,VZ in primary visual cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817333
252491511100_1_2,121080884,600,5,113220561,SP in perirhinal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195988
252491511205_1_4,147805480,600,5,127402907,SP in caudal midinferior temporal cortex (area TF),,H376.IIIA.02,/api/v2/well_known_file_download/147817451
252491511077_2_1,127365978,600,5,113219480,outer CP in orbital frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149205986
252491511055_1_1,121079970,600,5,113219480,outer CP in orbital frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195914
252491511101_1_2,121080893,600,5,113220575,body of caudate,,H376.IV.03,/api/v2/well_known_file_download/149195999
252491511320_1_2,147807054,600,5,127426424,outer CP in granular insular cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825825
252491511282_2_3,147806050,600,5,127426424,outer CP in granular insular cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820397
252491511161_2_4,121063833,600,5,12908,outer SZ in dorsomedial parietal cortex (area 7m),,H376.IV.02,/api/v2/well_known_file_download/149124261
252491510991_1_4,121080282,600,5,113220467,rostral migratory stream,,H376.IV.03,/api/v2/well_known_file_download/149195757
252491510933_1_1,147805264,600,5,127407543,VZ in dorsomedial parietal cortex (area 7m),,H376.IIIA.02,/api/v2/well_known_file_download/147817205
252491511262_2_2,147803794,600,5,127407509,CP in caudal subicular cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815560
252491511165_1_3,114245490,600,5,12138,MZ in primary somatosensory cortex,,H376.IV.02,/api/v2/well_known_file_download/121059817
252491511143_1_1,121063839,600,5,12910,SG in lateral temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149124034
252491511451_1_4,156438167,600,5,127434341,MZ in posterior parahippocampal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887143
252491511057_2_2,121079857,600,5,12971,VZ in frontal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/149195952
252491511270_1_1,147806401,600,5,127426904,outer CP in (rostral) midinferior temporal cortex (area 36),,H376.IIIB.02,/api/v2/well_known_file_download/147820248
252491511313_2_1,147807486,600,5,127434345,inner CP in posterior parahippocampal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825725
252491511099_1_2,121081352,600,5,113220705,medial subdivision of central nucleus,,H376.IV.03,/api/v2/well_known_file_download/149195974
252491511473_2_3,147807660,600,5,127434465,superficial layers of caudal presubiculum,,H376.IIIB.02,/api/v2/well_known_file_download/147825941
252491510928_2_4,147805372,600,5,127401330,IZ in posteroinferior (ventral) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817155
252491511262_2_3,147803158,600,5,113221857,olfactory tubercle,,H376.IIIA.02,/api/v2/well_known_file_download/147815562
252491511193_1_4,147805432,600,5,127401367,"substantia nigra, compact part",,H376.IIIA.02,/api/v2/well_known_file_download/147817323
252491511197_2_4,147805156,600,5,127407815,cerebellar vermis,,H376.IIIA.02,/api/v2/well_known_file_download/147817395
252491510932_2_3,147805414,600,5,127424209,inner SZ in inferolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817201
252491511450_1_2,156438204,600,5,127434469,"periaqueductal gray substance, dorsolateral portion",,H376.IIIB.02,/api/v2/well_known_file_download/156887123
252491511269_2_2,147803890,600,5,127401258,MZ in inferolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815672
252491510952_2_2,147804167,600,5,113222000,IZ in primary somatosensory cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815013
252491511053_2_2,121079962,600,5,113219478,MZ in ventrolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195898
252491510991_2_1,121081041,600,5,113220616,arcuate nucleus of hypothalamus,,H376.IV.03,/api/v2/well_known_file_download/149195759
252491511268_1_1,147802942,600,5,13370,MZ in ventrolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815646
252491511299_2_3,147807042,600,5,127426340,external segment of globus pallidus,,H376.IIIB.02,/api/v2/well_known_file_download/147825649
252491511163_1_3,121063405,600,5,12074,centromedian nucleus of thalamus,,H376.IV.02,/api/v2/well_known_file_download/149124283
252491511168_1_4,114245620,600,5,12074,centromedian nucleus of thalamus,,H376.IV.02,/api/v2/well_known_file_download/121059757
252491511143_2_4,121063864,600,5,12919,SP in lateral temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149124048
252491511284_2_2,147805992,600,5,127426342,Dorsal claustrum,,H376.IIIB.02,/api/v2/well_known_file_download/147820427
252491511184_1_2,114245427,600,5,12031,IZ in granular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059581
252491511187_2_4,114245361,600,5,12015,lateral septal nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059641
252491511087_2_3,127366318,600,5,113221111,IZ in superolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206114
252491511156_1_1,121063461,600,5,12804,stratum pyramidale of rostral CA2,,H376.IV.02,/api/v2/well_known_file_download/149124215
252491511135_2_4,121064203,600,5,12961,outer SZ in dorsomedial extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/149123847
252491511108_2_3,127366262,600,5,113221080,outer CP in superolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206352
252491511312_2_3,147808021,600,5,127434727,outer SZ in dorsomedial extrastriate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825713
252491511312_1_2,147808081,600,5,127434757,spinal trigeminal nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825703
252491511058_1_4,121079954,600,5,113219476,MZ in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195962
252491511165_2_2,114245599,600,5,12067,SP in primary somatosensory cortex,,H376.IV.02,/api/v2/well_known_file_download/121059811
252491511182_1_4,114245691,600,5,12109,MZ in midcingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/121059681
252491511170_2_2,114245557,600,5,12148,inner CP in rostral perirhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059741
252491511316_2_4,147806980,600,5,127409156,core of nucleus accumbens,,H376.IIIB.02,/api/v2/well_known_file_download/147825773
252491511281_2_1,147806010,600,5,127426346,lateral subdivision of BNST,,H376.IIIB.02,/api/v2/well_known_file_download/147820377
252491511283_1_4,147806004,600,5,127426346,lateral subdivision of BNST,,H376.IIIB.02,/api/v2/well_known_file_download/147820407
252491511045_1_1,121081302,600,5,113220693,SP in midinferior temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195837
252491511174_2_3,121079946,600,5,113219474,MZ in orbital frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149196069
252491511186_1_3,114245736,600,5,12125,inner CP in dorsolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059617
252491511191_2_2,114245286,600,5,11984,SG in frontal polar cortex,,H376.IV.02,/api/v2/well_known_file_download/121059929
252491511330_2_4,147807155,600,5,127426325,rostral subdivision of medial nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825911
252491511322_2_2,147807066,600,5,127426577,outer SZ in primary somatosensory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825865
252491511230_2_2,147806092,600,5,127426577,outer SZ in primary somatosensory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820014
252491511275_2_4,147805794,600,5,127409131,outer SZ in orbital frontal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820344
252491511200_2_1,114245764,600,5,12042,inner CP in dysgranular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059943
252491511148_1_3,121063716,600,5,12869,outer SZ in posterosuperior (dorsal) parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124103
252491511277_1_1,147802902,600,5,13346,SP in frontal polar cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815696
252491511276_1_2,147802900,600,5,13346,SP in frontal polar cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815680
252491511130_1_2,121063510,600,5,12811,layer IIIa of caudal entorhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/149123879
252491511455_2_3,156437975,600,5,127408944,rostral (anterior) extramural migratory stream,,H376.IIIA.02,/api/v2/well_known_file_download/156886662
252491511452_2_2,156438130,600,5,127426861,SP in posteroinferior (ventral) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887163
252491511259_2_2,147803770,600,5,127408485,raphe obscurus nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815511
252491511201_2_1,114245808,600,5,11982,outer CP in frontal polar cortex,,H376.IV.02,/api/v2/well_known_file_download/121059951
252491511080_1_2,127366256,600,5,113221078,inner CP in primary auditory cortex,,H376.IV.03,/api/v2/well_known_file_download/149206088
252491511289_1_1,147807788,600,5,127434586,"inferior olive, principal nucleus",,H376.IIIB.02,/api/v2/well_known_file_download/147825557
252491511261_1_1,147804231,600,5,113222046,dorsomedial hypothalamic nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815534
252491511168_2_4,114245629,600,5,12077,oculomotor nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059773
252491511276_2_3,147803126,600,5,113221849,nucleus of diagonal band,,H376.IIIA.02,/api/v2/well_known_file_download/147815692
252491511106_1_1,147804809,600,5,113221788,head of caudate,,H376.IIIA.02,/api/v2/well_known_file_download/147817269
252491511143_2_1,121063851,600,5,12915,outer CP in lateral temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149124042
252491511472_1_2,147807951,600,5,127434679,inner CP in primary visual cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825915
252491511284_1_2,147806740,600,5,127434208,inner CP in caudal cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820419
252491511215_2_4,147804223,600,5,113222032,ventral anterior nucleus of thalamus,,H376.IIIA.02,/api/v2/well_known_file_download/147815101
