barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511268_2_4,147803314,600,5,147800379,"lateral hypothalamic area, anterior part",,H376.IIIA.02,/api/v2/well_known_file_download/147815660
252491511280_1_2,147806395,600,5,127426902,MZ in rostral midinferior temporal cortex (area 36),,H376.IIIB.02,/api/v2/well_known_file_download/147820348
252491511282_2_1,147806461,600,5,127426960,lateral dorsal nucleus of thalamus,,H376.IIIB.02,/api/v2/well_known_file_download/147820393
252491511250_1_2,147805950,600,5,127409219,inner CP in rostral cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820045
252491511089_2_2,127366098,600,5,113220957,outer CP in granular insular cortex,,H376.IV.03,/api/v2/well_known_file_download/149206204
252491510813_2_2,147806451,600,5,127426946,mediodorsal nucleus of thalamus,,H376.IIIB.02,/api/v2/well_known_file_download/147819860
252491511212_2_3,147803004,600,5,13387,SP in orbital frontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815048
252491511102_1_2,121079876,600,5,113219349,SP in rostral cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149196015
252491511190_1_4,114245304,600,5,11992,SP in dorsolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059909
252491511053_1_1,121080148,600,5,113220291,VZ in orbital frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195888
252491511475_1_2,147807076,600,5,127434665,inner SZ in primary somatosensory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825963
252491511162_2_1,121063373,600,5,11986,MZ in dorsolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124271
252491511191_2_4,114245292,600,5,11986,MZ in dorsolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059933
252491511156_1_4,121063518,600,5,12813,layer V of caudal entorhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124221
252491511258_2_2,147803061,600,5,13366,inner CP in dorsolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815494
252491511193_2_3,147805300,600,5,127401140,dorsal lateral geniculate nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817329
252491511311_1_3,147806974,600,5,127409112,outer CP in posteror frontal cortex (motor cortex),,H376.IIIB.02,/api/v2/well_known_file_download/147825689
252491510812_1_2,147806538,600,5,127427015,inner CP in posterosuperior (dorsal) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819836
252491511253_2_1,147806532,600,5,127427015,inner CP in posterosuperior (dorsal) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820224
252491511215_1_3,147803914,600,5,127403716,outer CP in posteroinferior (ventral) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815088
252491511103_1_2,121080161,600,5,113220293,VZ in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149196031
252491511324_1_2,147807335,600,5,127434240,lateral nucleus of pulvinar,,H376.IIIB.02,/api/v2/well_known_file_download/147825889
252491511104_1_2,147805390,600,5,127401337,inner SZ in posterosuperior (dorsal) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817239
252491511320_2_1,147807323,600,5,127434230,VZ in caudal cingulate neocortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825831
252491511284_1_3,147806772,600,5,127434230,VZ in caudal cingulate neocortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820421
252491511199_2_4,114245802,600,5,12090,pretectal nuclear complex,,H376.IV.02,/api/v2/well_known_file_download/121059941
252491511199_2_3,114245800,600,5,12082,pedunculo(pontine) tegmental  nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059939
252491511153_2_2,121063584,600,5,12830,SP in superolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124191
252491511254_1_1,147805836,600,5,127409071,VZ in posteror frontal cortex (motor cortex),,H376.IIIB.02,/api/v2/well_known_file_download/147820232
252491511310_2_2,147806946,600,5,127409089,inner CP in subgenual (subcallosal) cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825679
252491511451_2_1,156438173,600,5,127434404,SP in caudal midinferior temporal cortex (area TF),,H376.IIIB.02,/api/v2/well_known_file_download/156887145
252491511314_1_2,147807578,600,5,127434404,SP in caudal midinferior temporal cortex (area TF),,H376.IIIB.02,/api/v2/well_known_file_download/147825735
252491510955_2_3,146036907,600,5,113221383,SP in caudal cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/146039585
252491511157_1_2,121063408,600,5,12795,parasubicular cortex (parasubiculum),,H376.IV.02,/api/v2/well_known_file_download/149124231
252491511259_2_1,147803632,600,5,127407389,dentate (lateral) nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815509
252491511214_1_4,147803426,600,5,127400713,ventral posterior inferior nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815074
252491511323_2_2,147807311,600,5,127434101,interpeduncular nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825881
252491511267_1_4,147803356,600,5,113221916,outer CP in dysgranular insular cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815636
